Date,Production,Source,Plant Name,Plant ID,Current Status,Year,Month,Month_Name,Year_Month,Day
2025-04-07,39.9,Visser,Doug Visser,2318D5,Offline,2025,4,April,2025-04,7
2025-05-07,53.1,Visser,Doug Visser,2318D5,Offline,2025,5,May,2025-05,7
2025-06-07,37.6,Visser,Doug Visser,2318D5,Offline,2025,6,June,2025-06,7
2025-07-07,75.9,Visser,Doug Visser,2318D5,Offline,2025,7,July,2025-07,7
2025-10-07,30.2,Visser,Doug Visser,2318D5,Offline,2025,10,October,2025-10,7
2025-11-07,0.3,Visser,Doug Visser,2318D5,Offline,2025,11,November,2025-11,7
2025-12-07,0.3,Visser,Doug Visser,2318D5,Offline,2025,12,December,2025-12,7
2026-02-07,21.1,Visser,Doug Visser,23'18D5,Offline,2026,2,February,2026-02,7
2025-01-08,6.3,Visser,Doug Visser,2318D5,Offline,2025,1,January,2025-01,8
2025-02-08,0.2,Visser,Doug Visser,2318D5,Offline,2025,2,February,2025-02,8
2025-03-08,40.4,Visser,Doug Visser,2318D5,Offline,2025,3,March,2025-03,8
2025-04-08,38.0,Visser,Doug Visser,2318D5,Offline,2025,4,April,2025-04,8
2025-05-08,5.9,Visser,Doug Visser,2318D5,Offline,2025,5,May,2025-05,8
2025-06-08,87.1,Visser,Doug Visser,2318D5,Offline,2025,6,June,2025-06,8
2025-07-08,85.7,Visser,Doug Visser,2318D5,Offline,2025,7,July,2025-07,8
2025-10-08,39.6,Visser,Doug Visser,2318D5,Offline,2025,10,October,2025-10,8
2025-11-08,3.3,Visser,Doug Visser,2318D5,Offline,2025,11,November,2025-11,8
2025-12-08,0.4,Visser,Doug Visser,2318D5,Offline,2025,12,December,2025-12,8
2026-02-08,30.2,Visser,Doug Visser,23'18D5,Offline,2026,2,February,2026-02,8
2025-01-09,18.5,Visser,Doug Visser,2318D5,Offline,2025,1,January,2025-01,9
2025-02-09,0.2,Visser,Doug Visser,2318D5,Offline,2025,2,February,2025-02,9
2025-03-09,13.0,Visser,Doug Visser,2318D5,Offline,2025,3,March,2025-03,9
2025-04-09,55.5,Visser,Doug Visser,2318D5,Offline,2025,4,April,2025-04,9
2025-05-09,67.5,Visser,Doug Visser,2318D5,Offline,2025,5,May,2025-05,9
2025-06-09,95.0,Visser,Doug Visser,2318D5,Offline,2025,6,June,2025-06,9
